epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
0,0.70139800,0.50024641,0.69675630,0.70139359,0.50024396,0.69675368,[512],0.00100000,0.10000000,1
1,0.26982187,0.15795094,0.24113956,0.27049543,0.15725063,0.24079469,[512],0.00100000,0.10000000,1
2,0.25839805,0.14664106,0.22500151,0.25895510,0.14605713,0.22466433,[512],0.00100000,0.10000000,1
3,0.24961452,0.14084229,0.21572566,0.24984645,0.14042610,0.21534389,[512],0.00100000,0.10000000,1
4,0.24387473,0.13754904,0.21011363,0.24405937,0.13731585,0.20978668,[512],0.00100000,0.10000000,1
5,0.24092241,0.13413838,0.20525034,0.24109293,0.13391946,0.20489679,[512],0.00100000,0.10000000,1
10,0.24100088,0.12681916,0.19354902,0.24132930,0.12702081,0.19389054,[512],0.00100000,0.10000000,1
20,0.24652337,0.12118103,0.18495436,0.24736549,0.12180558,0.18643513,[512],0.00100000,0.10000000,1
30,0.25317482,0.11880124,0.18112645,0.25467502,0.11982726,0.18382607,[512],0.00100000,0.10000000,1
40,0.25989170,0.11604930,0.17751947,0.26241081,0.11757197,0.18163939,[512],0.00100000,0.10000000,1
50,0.26640096,0.11472560,0.17543894,0.27005182,0.11666542,0.18093182,[512],0.00100000,0.10000000,1
60,0.27257967,0.11343985,0.17358710,0.27751505,0.11592840,0.18062752,[512],0.00100000,0.10000000,1
70,0.27922822,0.11226010,0.17195708,0.28530665,0.11521365,0.18043719,[512],0.00100000,0.10000000,1
80,0.28688582,0.11145408,0.17101295,0.29387075,0.11472624,0.18069577,[512],0.00100000,0.10000000,1
90,0.29382969,0.11069737,0.16961327,0.30175263,0.11442095,0.18055625,[512],0.00100000,0.10000000,1
100,0.29920011,0.10967700,0.16877139,0.30784048,0.11368521,0.18079101,[512],0.00100000,0.10000000,1
110,0.30701792,0.10939176,0.16801518,0.31674157,0.11383459,0.18127263,[512],0.00100000,0.10000000,1
120,0.31044606,0.10876171,0.16714470,0.32066949,0.11338397,0.18121998,[512],0.00100000,0.10000000,1
130,0.31409634,0.10834420,0.16649249,0.32504038,0.11326190,0.18143915,[512],0.00100000,0.10000000,1
140,0.32114168,0.10765936,0.16598183,0.33263538,0.11277225,0.18169707,[512],0.00100000,0.10000000,1
150,0.32593199,0.10752520,0.16563611,0.33833737,0.11296417,0.18235283,[512],0.00100000,0.10000000,1
160,0.33064331,0.10717821,0.16462968,0.34402498,0.11292462,0.18241963,[512],0.00100000,0.10000000,1
170,0.33266913,0.10673267,0.16432902,0.34664431,0.11267053,0.18275161,[512],0.00100000,0.10000000,1
180,0.33918048,0.10639549,0.16391487,0.35412166,0.11256063,0.18329799,[512],0.00100000,0.10000000,1
190,0.34246830,0.10588360,0.16357812,0.35775139,0.11213163,0.18332100,[512],0.00100000,0.10000000,1
200,0.34798746,0.10593748,0.16336533,0.36408432,0.11247117,0.18410930,[512],0.00100000,0.10000000,1
