epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
0,0.70209764,0.50037378,0.69737864,0.70202352,0.50033599,0.69730717,[128],0.00100000,0.10000000,1
1,0.34003228,0.17545681,0.26493800,0.34267931,0.17471750,0.26467720,[128],0.00100000,0.10000000,1
2,0.33400295,0.16113436,0.24520910,0.33742987,0.16040067,0.24512298,[128],0.00100000,0.10000000,1
3,0.32967223,0.15312791,0.23186670,0.33254870,0.15177204,0.23054501,[128],0.00100000,0.10000000,1
4,0.33575938,0.14596978,0.22266184,0.33908448,0.14442839,0.22122477,[128],0.00100000,0.10000000,1
5,0.33575722,0.14285825,0.21778287,0.33865282,0.14142627,0.21627918,[128],0.00100000,0.10000000,1
10,0.32170890,0.13564911,0.20702483,0.32336346,0.13497515,0.20616290,[128],0.00100000,0.10000000,1
20,0.34149676,0.12864615,0.19608957,0.34271763,0.12852594,0.19607398,[128],0.00100000,0.10000000,1
30,0.38306309,0.12540241,0.19060126,0.38484502,0.12559515,0.19123627,[128],0.00100000,0.10000000,1
40,0.41870631,0.12286010,0.18747076,0.42092163,0.12335782,0.18880217,[128],0.00100000,0.10000000,1
50,0.44413880,0.12146340,0.18528290,0.44670740,0.12214968,0.18713804,[128],0.00100000,0.10000000,1
60,0.47012577,0.11978386,0.18352281,0.47314019,0.12064085,0.18581414,[128],0.00100000,0.10000000,1
70,0.49274746,0.11884046,0.18231452,0.49617988,0.11985951,0.18504852,[128],0.00100000,0.10000000,1
80,0.51158640,0.11842920,0.18117572,0.51575849,0.11962517,0.18454032,[128],0.00100000,0.10000000,1
90,0.52908421,0.11762453,0.18025167,0.53343219,0.11900077,0.18412825,[128],0.00100000,0.10000000,1
100,0.54731892,0.11716608,0.17944145,0.55221083,0.11871281,0.18380128,[128],0.00100000,0.10000000,1
110,0.56685500,0.11677216,0.17889248,0.57194983,0.11845032,0.18368225,[128],0.00100000,0.10000000,1
120,0.58592207,0.11624976,0.17830004,0.59166848,0.11806526,0.18353954,[128],0.00100000,0.10000000,1
130,0.60541642,0.11569636,0.17758146,0.61158211,0.11764050,0.18323064,[128],0.00100000,0.10000000,1
140,0.62075177,0.11575738,0.17707099,0.62747667,0.11788209,0.18325035,[128],0.00100000,0.10000000,1
150,0.63952826,0.11522481,0.17708392,0.64645196,0.11742049,0.18353969,[128],0.00100000,0.10000000,1
160,0.65665347,0.11501804,0.17653085,0.66381980,0.11732288,0.18332450,[128],0.00100000,0.10000000,1
170,0.67553927,0.11477812,0.17603061,0.68311989,0.11714946,0.18307763,[128],0.00100000,0.10000000,1
180,0.68982500,0.11425879,0.17547795,0.69764795,0.11677707,0.18292974,[128],0.00100000,0.10000000,1
190,0.70874275,0.11404499,0.17522660,0.71707985,0.11666290,0.18313424,[128],0.00100000,0.10000000,1
200,0.72658734,0.11377165,0.17487420,0.73518462,0.11650678,0.18304227,[128],0.00100000,0.10000000,1
