epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
0,0.70129550,0.49931535,0.69657624,0.70116186,0.49924889,0.69644696,[32],0.00010000,0.10000000,1
1,0.68709989,0.49221522,0.68257689,0.68701569,0.49217239,0.68248248,[32],0.00010000,0.10000000,1
2,0.67308443,0.48501441,0.66851574,0.67304648,0.48499462,0.66847807,[32],0.00010000,0.10000000,1
3,0.65884483,0.47750795,0.65415758,0.65885641,0.47751307,0.65416831,[32],0.00010000,0.10000000,1
4,0.64441970,0.46970952,0.63978285,0.64447688,0.46973789,0.63984656,[32],0.00010000,0.10000000,1
5,0.62951773,0.46145692,0.62481093,0.62960824,0.46150184,0.62490064,[32],0.00010000,0.10000000,1
10,0.34647170,0.21420033,0.31052360,0.34624449,0.21248117,0.30906281,[32],0.00010000,0.10000000,1
20,0.29911064,0.18298119,0.27043447,0.29916780,0.18177582,0.26954558,[32],0.00010000,0.10000000,1
30,0.28536166,0.17782860,0.26391950,0.28534744,0.17687355,0.26327005,[32],0.00010000,0.10000000,1
40,0.27682190,0.17514351,0.26018521,0.27670608,0.17433198,0.25963801,[32],0.00010000,0.10000000,1
50,0.27052633,0.17264600,0.25712004,0.27034761,0.17200404,0.25666466,[32],0.00010000,0.10000000,1
60,0.26561403,0.17100231,0.25462580,0.26539028,0.17057350,0.25423780,[32],0.00010000,0.10000000,1
70,0.26142014,0.16884786,0.25199512,0.26118780,0.16856048,0.25166681,[32],0.00010000,0.10000000,1
80,0.25738406,0.16617462,0.24884878,0.25712456,0.16601197,0.24853608,[32],0.00010000,0.10000000,1
90,0.25359310,0.16334826,0.24554744,0.25326001,0.16322409,0.24516672,[32],0.00010000,0.10000000,1
100,0.24993670,0.16072027,0.24222738,0.24948182,0.16057365,0.24172722,[32],0.00010000,0.10000000,1
110,0.24685878,0.15855007,0.23933740,0.24627517,0.15835106,0.23870072,[32],0.00010000,0.10000000,1
120,0.24460739,0.15695456,0.23715568,0.24393772,0.15673031,0.23644474,[32],0.00010000,0.10000000,1
130,0.24280684,0.15572430,0.23549131,0.24207343,0.15547782,0.23470685,[32],0.00010000,0.10000000,1
140,0.24139383,0.15451816,0.23415546,0.24060650,0.15427342,0.23331676,[32],0.00010000,0.10000000,1
150,0.24027869,0.15387723,0.23320937,0.23948211,0.15365157,0.23235841,[32],0.00010000,0.10000000,1
160,0.23944998,0.15313850,0.23249167,0.23866011,0.15293510,0.23164786,[32],0.00010000,0.10000000,1
170,0.23883156,0.15265207,0.23197855,0.23804959,0.15247048,0.23114613,[32],0.00010000,0.10000000,1
180,0.23837408,0.15208709,0.23158322,0.23762282,0.15193141,0.23078117,[32],0.00010000,0.10000000,1
190,0.23792085,0.15171807,0.23122177,0.23716701,0.15157254,0.23041983,[32],0.00010000,0.10000000,1
200,0.23775859,0.15153353,0.23114964,0.23702297,0.15141214,0.23036374,[32],0.00010000,0.10000000,1
