epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
0,0.70139808,0.50024658,0.69675583,0.70139366,0.50024390,0.69675189,[512],0.00010000,0.10000000,1
1,0.35479652,0.23822285,0.33681014,0.35364651,0.23654644,0.33525115,[512],0.00010000,0.10000000,1
2,0.30264377,0.18717004,0.27599004,0.30252815,0.18629518,0.27506781,[512],0.00010000,0.10000000,1
3,0.29021513,0.17998837,0.26768610,0.29024318,0.17917724,0.26698753,[512],0.00010000,0.10000000,1
4,0.28411902,0.17711896,0.26425683,0.28416780,0.17634909,0.26366287,[512],0.00010000,0.10000000,1
5,0.28012060,0.17448232,0.26214361,0.28024105,0.17377381,0.26169634,[512],0.00010000,0.10000000,1
10,0.26821482,0.16982304,0.25610954,0.26816204,0.16932099,0.25579292,[512],0.00010000,0.10000000,1
20,0.25051275,0.16130218,0.24232298,0.25019370,0.16115561,0.24194232,[512],0.00010000,0.10000000,1
30,0.24215429,0.15495497,0.23485146,0.24139719,0.15484083,0.23404390,[512],0.00010000,0.10000000,1
40,0.23889872,0.15157762,0.23166794,0.23815163,0.15150824,0.23086898,[512],0.00010000,0.10000000,1
50,0.23723518,0.14972809,0.23013206,0.23650714,0.14971854,0.22935213,[512],0.00010000,0.10000000,1
60,0.23643238,0.14822242,0.22951843,0.23576640,0.14823250,0.22880138,[512],0.00010000,0.10000000,1
70,0.23609973,0.14703035,0.22931407,0.23548981,0.14708143,0.22866003,[512],0.00010000,0.10000000,1
80,0.23607290,0.14613739,0.22937651,0.23548113,0.14618689,0.22874331,[512],0.00010000,0.10000000,1
90,0.23633242,0.14535694,0.22968018,0.23579335,0.14542928,0.22910671,[512],0.00010000,0.10000000,1
100,0.23684343,0.14477575,0.23022595,0.23631005,0.14488171,0.22966389,[512],0.00010000,0.10000000,1
110,0.23764511,0.14400265,0.23107851,0.23708088,0.14408416,0.23049112,[512],0.00010000,0.10000000,1
120,0.23833408,0.14350231,0.23175715,0.23778077,0.14360742,0.23119128,[512],0.00010000,0.10000000,1
130,0.23985193,0.14289626,0.23325008,0.23927492,0.14300321,0.23266295,[512],0.00010000,0.10000000,1
140,0.24090232,0.14234778,0.23426089,0.24032079,0.14244005,0.23367321,[512],0.00010000,0.10000000,1
150,0.24208918,0.14212157,0.23550974,0.24155135,0.14224976,0.23497127,[512],0.00010000,0.10000000,1
160,0.24306194,0.14201197,0.23657113,0.24257342,0.14216657,0.23609063,[512],0.00010000,0.10000000,1
170,0.24508395,0.14139870,0.23849940,0.24461443,0.14156514,0.23804379,[512],0.00010000,0.10000000,1
180,0.24661274,0.14124732,0.24003448,0.24606996,0.14140201,0.23950677,[512],0.00010000,0.10000000,1
190,0.24812937,0.14123952,0.24166001,0.24762690,0.14140503,0.24116462,[512],0.00010000,0.10000000,1
200,0.24990830,0.14102118,0.24340791,0.24944284,0.14121568,0.24295452,[512],0.00010000,0.10000000,1
