epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
0,0.70209758,0.50037372,0.69737774,0.70202347,0.50033605,0.69730568,[128],0.00010000,0.10000000,1
1,0.65168370,0.47339579,0.64675653,0.65171311,0.47337079,0.64677495,[128],0.00010000,0.10000000,1
2,0.44784690,0.30999163,0.42670864,0.44675660,0.30826381,0.42508814,[128],0.00010000,0.10000000,1
3,0.35220682,0.21933709,0.31450137,0.35175201,0.21765149,0.31283885,[128],0.00010000,0.10000000,1
4,0.32758962,0.20214412,0.29097217,0.32736042,0.20057718,0.28947255,[128],0.00010000,0.10000000,1
5,0.31580125,0.19420341,0.28164327,0.31578003,0.19274889,0.28039238,[128],0.00010000,0.10000000,1
10,0.29237060,0.18074845,0.26739582,0.29256596,0.17964651,0.26670587,[128],0.00010000,0.10000000,1
20,0.27451790,0.17362270,0.25901556,0.27451404,0.17293914,0.25861847,[128],0.00010000,0.10000000,1
30,0.26413906,0.16914968,0.25297928,0.26395774,0.16867514,0.25261950,[128],0.00010000,0.10000000,1
40,0.25566466,0.16492102,0.24670844,0.25536197,0.16463815,0.24631889,[128],0.00010000,0.10000000,1
50,0.24941828,0.16053964,0.24145696,0.24889739,0.16033639,0.24087515,[128],0.00010000,0.10000000,1
60,0.24477626,0.15699048,0.23727292,0.24403584,0.15674666,0.23646095,[128],0.00010000,0.10000000,1
70,0.24191733,0.15471701,0.23449647,0.24110812,0.15448311,0.23362896,[128],0.00010000,0.10000000,1
80,0.24001054,0.15351692,0.23276486,0.23917501,0.15331836,0.23187332,[128],0.00010000,0.10000000,1
90,0.23882631,0.15255107,0.23177335,0.23804186,0.15238211,0.23092863,[128],0.00010000,0.10000000,1
100,0.23814952,0.15187287,0.23123054,0.23741971,0.15175050,0.23044093,[128],0.00010000,0.10000000,1
110,0.23763406,0.15106930,0.23080976,0.23693877,0.15099558,0.23006065,[128],0.00010000,0.10000000,1
120,0.23736475,0.15091613,0.23065586,0.23668687,0.15085424,0.22992694,[128],0.00010000,0.10000000,1
130,0.23702223,0.15053830,0.23040162,0.23637754,0.15051088,0.22970964,[128],0.00010000,0.10000000,1
140,0.23705732,0.15006162,0.23046263,0.23644009,0.15005031,0.22979628,[128],0.00010000,0.10000000,1
150,0.23719104,0.14980760,0.23064184,0.23661011,0.14982854,0.23001570,[128],0.00010000,0.10000000,1
160,0.23732126,0.14951634,0.23084165,0.23671968,0.14952767,0.23019582,[128],0.00010000,0.10000000,1
170,0.23746184,0.14924242,0.23098962,0.23691490,0.14928074,0.23039949,[128],0.00010000,0.10000000,1
180,0.23771598,0.14934237,0.23130070,0.23711879,0.14937706,0.23066486,[128],0.00010000,0.10000000,1
