,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_reg_all,param_lr_all
0,1.09475624715146,1.0898012507215153,1.0933945146605573,1.092650670844511,0.002090131594293202,44,3.075562318166097,0.019054230334099233,0.2066344420115153,0.026652304283478846,"{'reg_all': 0.001, 'lr_all': 5e-05}",0.001,5e-05
1,1.0689568566118726,1.0648309448068694,1.0675817594862436,1.0671231869683284,0.001715323802533396,30,3.0522290070851645,0.015318534224954612,0.20662466684977213,0.029443510922578648,"{'reg_all': 0.001, 'lr_all': 0.0001}",0.001,0.0001
2,0.9950008647848646,0.991890973073417,0.9932378303788078,0.9933765560790299,0.0012733918562011694,19,3.211517333984375,0.06380281947464266,0.22552005449930826,0.027648364798191827,"{'reg_all': 0.001, 'lr_all': 0.0005}",0.001,0.0005
3,0.9721829273346253,0.9737270858427715,0.973324312801788,0.9730781086597283,0.0006539973161237333,14,3.2793187300364175,0.10263161614774603,0.2145212491353353,0.028159423226987182,"{'reg_all': 0.001, 'lr_all': 0.001}",0.001,0.001
4,0.9611427351644889,0.9618533866785136,0.9608571376945482,0.9612844198458502,0.00041887462023250697,7,3.45501716931661,0.1824028497066886,0.20771551132202148,0.020397915760815087,"{'reg_all': 0.001, 'lr_all': 0.005}",0.001,0.005
5,1.012981080873465,1.0079743129076253,1.0059744811686893,1.0089766249832597,0.0029469285681267983,27,3.4331463972727456,0.3340122806374512,0.2024214267730713,0.012147146565844081,"{'reg_all': 0.001, 'lr_all': 0.01}",0.001,0.01
6,1.094766812359596,1.0898440152668376,1.0923546514858922,1.0923218263707752,0.002009857527331114,41,3.2149950663248696,0.03983487269418647,0.20630574226379395,0.029474029181485697,"{'reg_all': 0.005, 'lr_all': 5e-05}",0.005,5e-05
7,1.0685942718436179,1.0658747523875423,1.0669893307616667,1.067152784997609,0.0011162390674131493,31,3.1856449445088706,0.022232135056950764,0.19913427035013834,0.019739577521129616,"{'reg_all': 0.005, 'lr_all': 0.0001}",0.005,0.0001
8,0.995704332968957,0.9927045372820854,0.993693489211372,0.9940341198208049,0.001248122710261364,20,3.193105697631836,0.03957878615208181,0.20095094045003256,0.023763668072710898,"{'reg_all': 0.005, 'lr_all': 0.0005}",0.005,0.0005
9,0.9729004346684559,0.9724610175260373,0.9730243298252353,0.9727952606732427,0.00024169728113041024,13,3.2252413431803384,0.03182706362432776,0.19063671429951987,0.031485528208671926,"{'reg_all': 0.005, 'lr_all': 0.001}",0.005,0.001
10,0.9568471097884066,0.9591389026273702,0.9597639200763228,0.9585833108306998,0.0012539157992249822,6,3.2348853747049966,0.042028178885716486,0.20402018229166666,0.013037673559248307,"{'reg_all': 0.005, 'lr_all': 0.005}",0.005,0.005
