,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_reg_all,param_lr_all
0,1.0331617663542583,1.0316484408870203,1.0315333461033043,1.0321145177815276,0.0007420057870953283,36,33.560720125834145,0.8706325121778938,4.065487066904704,0.4222723930891911,"{'reg_all': 0.001, 'lr_all': 5e-05}",0.001,5e-05
1,0.9972726672582052,0.9951418561336103,0.9948777199388121,0.9957640811102092,0.0010721679305017565,29,32.94483709335327,0.25846206925470233,4.1150743166605634,0.05035675005980883,"{'reg_all': 0.001, 'lr_all': 0.0001}",0.001,0.0001
2,0.9342867479073391,0.933235239533779,0.9322269223932214,0.9332496366114466,0.0008409818642660695,16,37.004601875940956,1.9573857551763765,4.263192097345988,0.2198640388130321,"{'reg_all': 0.001, 'lr_all': 0.0005}",0.001,0.0005
3,0.9233136695865085,0.9221181030868623,0.9208978523948865,0.9221098750227524,0.000986270399573845,10,33.68021949132284,0.9506264193365407,4.5304999351501465,0.714508873700581,"{'reg_all': 0.001, 'lr_all': 0.001}",0.001,0.001
4,0.938419966020914,0.9365037342194605,0.9354969440504123,0.9368068814302623,0.001212418528828957,18,32.93243455886841,0.3432498980884641,4.074540217717488,0.15610739713052268,"{'reg_all': 0.001, 'lr_all': 0.005}",0.001,0.005
5,1.0137364088985052,1.012209434792164,1.0119527702065911,1.0126328712990869,0.0007873227217897035,34,34.54432908693949,0.8321890450815866,4.745360215504964,0.35268230854315175,"{'reg_all': 0.001, 'lr_all': 0.01}",0.001,0.01
6,1.0332115156263966,1.031829881982386,1.031886244214581,1.0323092139411212,0.0006384384197621609,37,33.97974459330241,1.2003840000125157,4.273575305938721,0.15086205991109983,"{'reg_all': 0.005, 'lr_all': 5e-05}",0.005,5e-05
7,0.9968186885399529,0.9951218629092812,0.995098572516625,0.9956797079886197,0.000805436996432786,28,34.54147473971049,0.4609994200885974,4.247885068257649,0.3252399179618204,"{'reg_all': 0.005, 'lr_all': 0.0001}",0.005,0.0001
8,0.9344712255302783,0.933031485142335,0.9319656763439138,0.9331561290055089,0.001026676271857599,15,34.31319626172384,0.6481917529500276,4.271824995676677,0.15536600686837315,"{'reg_all': 0.005, 'lr_all': 0.0005}",0.005,0.0005
9,0.9226221957953166,0.9210426082537709,0.919703413539983,0.9211227391963569,0.001192934250628074,9,32.85787534713745,1.0387522681494528,4.083400328954061,0.050632271911361486,"{'reg_all': 0.005, 'lr_all': 0.001}",0.005,0.001
