,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_sim_options['name'],param_sim_options['user_based']
0,1.3319544816788116,1.3391122973299046,1.3388757312542081,1.3366475034209746,0.0033198725559228674,42,18.480223099390667,0.29196208878110913,108.04224793116252,1.1649623685058808,"{'k': 1, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": True}",1,MSD,True
1,1.3319544816788116,1.3391122973299046,1.3388757312542081,1.3366475034209746,0.0033198725559228674,41,19.19311300913493,1.4985416018955178,117.39436705907185,8.68941637023786,"{'k': 1, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": False}",1,MSD,False
2,1.3319544816788116,1.3391122973299046,1.3388757312542081,1.3366475034209746,0.0033198725559228674,40,19.093016703923542,0.7916473683785954,112.60789521535237,2.5168274397432797,"{'k': 1, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": True}",1,cosine,True
3,1.3319544816788116,1.3391122973299046,1.3388757312542081,1.3366475034209746,0.0033198725559228674,39,18.920501470565796,0.9783990482059848,108.85067518552144,1.2978616499749571,"{'k': 1, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": False}",1,cosine,False
4,1.3319544816788116,1.3391122973299046,1.3388757312542081,1.3366475034209746,0.0033198725559228674,38,17.541905244191486,0.8487363575049928,99.21333845456441,6.09476841836546,"{'k': 1, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": True}",1,pearson,True
5,1.3319544816788116,1.3391122973299046,1.3388757312542081,1.3366475034209746,0.0033198725559228674,37,16.118110815684002,0.06170060492445029,93.11927835146587,0.37167022212731365,"{'k': 1, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": False}",1,pearson,False
6,0.9703827469184874,0.9707029864123832,0.970498721576486,0.9705281516357855,0.00013238310480178807,36,16.214932759602863,0.14580051779967595,103.26663549741109,0.33323751274012603,"{'k': 10, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": True}",10,MSD,True
7,0.9703827469184874,0.9707029864123832,0.970498721576486,0.9705281516357855,0.00013238310480178807,35,15.969871441523233,0.08817831243187045,103.05947184562683,0.7608536175269542,"{'k': 10, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": False}",10,MSD,False
8,0.9703827469184874,0.9707029864123832,0.970498721576486,0.9705281516357855,0.00013238310480178807,34,16.15539042154948,0.1688054067826569,102.1722203095754,0.3224034869183285,"{'k': 10, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": True}",10,cosine,True
9,0.9703827469184874,0.9707029864123832,0.970498721576486,0.9705281516357855,0.00013238310480178807,33,16.167105674743652,0.22578401267112247,102.68603666623433,0.9179075105150044,"{'k': 10, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": False}",10,cosine,False
10,0.9703827469184874,0.9707029864123832,0.970498721576486,0.9705281516357855,0.00013238310480178807,32,16.123946746190388,0.1350692386397567,103.76261329650879,0.33511940023309056,"{'k': 10, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": True}",10,pearson,True
11,0.9703827469184874,0.9707029864123832,0.970498721576486,0.9705281516357855,0.00013238310480178807,31,16.31789739926656,0.083875158913327,102.82243736584981,0.9043976017749165,"{'k': 10, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": False}",10,pearson,False
12,0.9360163144697429,0.9364533096786327,0.9360494210406081,0.9361730150629946,0.00019865852599443659,1,16.343703905741375,0.17744256848083084,149.5189451376597,1.552808180961411,"{'k': 100, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": True}",100,MSD,True
13,0.9360163144697429,0.9364533096786327,0.9360494210406081,0.9361730150629946,0.00019865852599443659,6,16.280723730723064,0.12073935102131143,146.79974301656088,0.6130740145269122,"{'k': 100, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": False}",100,MSD,False
14,0.9360163144697429,0.9364533096786327,0.9360494210406081,0.9361730150629946,0.00019865852599443659,5,16.245155413945515,0.09353968572303716,146.26908787091574,0.39457007167474956,"{'k': 100, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": True}",100,cosine,True
15,0.9360163144697429,0.9364533096786327,0.9360494210406081,0.9361730150629946,0.00019865852599443659,4,16.229662895202637,0.15973238514970317,145.86944389343262,0.4222614169424644,"{'k': 100, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": False}",100,cosine,False
16,0.9360163144697429,0.9364533096786327,0.9360494210406081,0.9361730150629946,0.00019865852599443659,3,16.293825070063274,0.09261692336565558,146.8251529534658,0.23542224288214872,"{'k': 100, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": True}",100,pearson,True
17,0.9360163144697429,0.9364533096786327,0.9360494210406081,0.9361730150629946,0.00019865852599443659,2,16.97211805979411,0.954974692246373,151.02830481529236,2.442560461762215,"{'k': 100, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": False}",100,pearson,False
18,0.9626677416030458,0.9628912471584635,0.9629194619694835,0.9628261502436642,0.00011260252204745192,11,17.664120038350422,0.8827068392656828,260.84227236111957,13.714899248945171,"{'k': 1000, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": True}",1000,MSD,True
19,0.9626677416030458,0.9628912471584635,0.9629194619694835,0.9628261502436642,0.00011260252204745192,10,17.935710430145264,0.48007483592268374,248.79673624038696,2.5120046439929014,"{'k': 1000, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": False}",1000,MSD,False
