,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_sim_options['name'],param_sim_options['user_based']
0,1.3385931407310796,1.337367842124832,1.342347476244025,1.3394361530333123,0.0021185201275960605,42,0.20053799947102866,0.008152304896808888,1.9948580265045166,0.04768922013501391,"{'k': 1, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": True}",1,MSD,True
1,1.3385931407310796,1.337367842124832,1.342347476244025,1.3394361530333123,0.0021185201275960605,41,0.18217809995015463,0.019848901529293403,1.6925721963246663,0.13331821658320742,"{'k': 1, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": False}",1,MSD,False
2,1.3385931407310796,1.337367842124832,1.342347476244025,1.3394361530333123,0.0021185201275960605,40,0.1708214282989502,0.002348768536406615,1.7041653792063396,0.06885913116204974,"{'k': 1, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": True}",1,cosine,True
3,1.3385931407310796,1.337367842124832,1.342347476244025,1.3394361530333123,0.0021185201275960605,39,0.17320569356282553,0.009262095550357228,1.6520484288533528,0.026271614208045805,"{'k': 1, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": False}",1,cosine,False
4,1.3385931407310796,1.337367842124832,1.342347476244025,1.3394361530333123,0.0021185201275960605,38,0.20753184954325357,0.034760984312152035,2.543356021245321,0.30975914839978136,"{'k': 1, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": True}",1,pearson,True
5,1.3385931407310796,1.337367842124832,1.342347476244025,1.3394361530333123,0.0021185201275960605,37,0.29862507184346515,0.06427186581277036,3.296624024709066,0.59472815359961,"{'k': 1, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": False}",1,pearson,False
6,1.0034960271602875,1.005534802162923,1.0064894887730382,1.0051734393654161,0.0012485032132703063,7,0.23324799537658691,0.03726314765496003,3.014526685078939,0.1774590608500206,"{'k': 10, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": True}",10,MSD,True
7,1.0034960271602875,1.005534802162923,1.0064894887730382,1.0051734393654161,0.0012485032132703063,8,0.2082993984222412,0.01284667545648657,2.7888289292653403,0.1713263047369304,"{'k': 10, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": False}",10,MSD,False
8,1.0034960271602875,1.005534802162923,1.0064894887730382,1.0051734393654161,0.0012485032132703063,12,0.18216808636983237,0.02093338435938014,2.7076149781545005,0.3163085413340655,"{'k': 10, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": True}",10,cosine,True
9,1.0034960271602875,1.005534802162923,1.0064894887730382,1.0051734393654161,0.0012485032132703063,9,0.2110612392425537,0.02225978650296593,3.3542470932006836,0.8770089266156749,"{'k': 10, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": False}",10,cosine,False
10,1.0034960271602875,1.005534802162923,1.0064894887730382,1.0051734393654161,0.0012485032132703063,10,0.19933009147644043,0.0208877158288462,2.6966184775034585,0.22828432611882316,"{'k': 10, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": True}",10,pearson,True
11,1.0034960271602875,1.005534802162923,1.0064894887730382,1.0051734393654161,0.0012485032132703063,11,0.2127997080485026,0.055556500316230904,2.631974458694458,0.1483124586241339,"{'k': 10, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": False}",10,pearson,False
12,1.0011763659983808,1.0018667170119187,1.0052009612264452,1.0027480147455814,0.0017572432878345254,1,0.17736665407816568,0.0016785977677039774,4.439919710159302,0.19695990424594786,"{'k': 100, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": True}",100,MSD,True
13,1.0011763659983808,1.0018667170119187,1.0052009612264452,1.0027480147455814,0.0017572432878345254,4,0.18662333488464355,0.012299629675742385,4.169587294260661,0.06361486536787676,"{'k': 100, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": False}",100,MSD,False
14,1.0011763659983808,1.0018667170119187,1.0052009612264452,1.0027480147455814,0.0017572432878345254,3,0.19059904416402182,0.025803363943450834,4.15072758992513,0.10561889245901061,"{'k': 100, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": True}",100,cosine,True
15,1.0011763659983808,1.0018667170119187,1.0052009612264452,1.0027480147455814,0.0017572432878345254,2,0.17041524251302084,0.009116516204113613,4.056097586949666,0.026652235749448812,"{'k': 100, ""sim_options['name']"": 'cosine', ""sim_options['user_based']"": False}",100,cosine,False
16,1.0011763659983808,1.0018667170119187,1.0052009612264452,1.0027480147455814,0.0017572432878345254,5,0.16851655642191568,0.008747782891377252,4.363842964172363,0.0216980945697528,"{'k': 100, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": True}",100,pearson,True
17,1.0011763659983808,1.0018667170119187,1.0052009612264452,1.0027480147455814,0.0017572432878345254,6,0.17668374379475912,0.009496115237653983,4.564303795496623,0.19633497093938526,"{'k': 100, ""sim_options['name']"": 'pearson', ""sim_options['user_based']"": False}",100,pearson,False
18,1.0072439460259857,1.0083663541628485,1.0120627782354987,1.0092243594747776,0.002058707653251447,35,0.1744986375172933,0.0187254866198127,4.120904048283895,0.2771731455640677,"{'k': 1000, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": True}",1000,MSD,True
19,1.0072439460259857,1.0083663541628485,1.0120627782354987,1.0092243594747776,0.002058707653251447,34,0.1627206007639567,0.001066284305138533,3.896449009577433,0.026756921052592794,"{'k': 1000, ""sim_options['name']"": 'MSD', ""sim_options['user_based']"": False}",1000,MSD,False
